UUID,Название,Пинг каждые (сек.),IP
005003-04_P,"Купол 005003-04_P мкр. 12, 10 (Стадион Литейщик)",60,10.20.44.5
005005-04_P,"Купол 005005-04_P ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",60,10.20.20.5
005006-05_P,Купол 005006-05_P пр. Бухар Жырау - ул. Лободы перекресток,60,10.20.20.38
005007-04_P,"Купол 005007-04_P мкр. 19, 49",60,10.20.43.197
005010-03_P,"Купол 005010-03_P ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",60,10.20.28.244
005012-05_P,"Купол 005012-05_P ул. Ержанова, 6",,10.20.16.102
005014-07_P,"Купол 005014-07_P ул. Карла Маркса, 33/1 (Мечеть Бала Кажы)",60,10.20.42.92
005016-05_P,Купол 005016-05_P пр. Бухар Жырау - ул. Затаевича перекресток,60,10.20.24.198
005017-05_P,Купол 005017-05_P ул. Штурманская - ул. Гудермесская перекресток,60,10.20.29.6
005018-01_P,"Купол 005018-01_P ул. Гапеева, 1",60,10.20.29.34
005018-02_P,"Купол 005018-02_P ул. Гапеева, 3 (ТБЦ Аян)",60,10.20.29.35
005019-01_P,"Купол 005019-01_P ул. Муканова, 3",60,10.20.29.50
005020-01_P,"Купол 005020-01_P пр. Назарбаева, 39 (Акимат города Караганды)",60,10.20.20.98
005021-01_P,"Купол 005021-01_P ул. Асфальтная - ул. Молокова перекресток (ул. Орлова, 113)",60,10.20.29.66
005022-05_P,Купол 005022-05_P ул. Таттимбета - мкр. Кунгей - п. Уштобе перекресток,60,10.20.29.86
005023-04_P,"Купол 005023-04_P ул. Винницкая, 47/1 (АЗС Омега)",60,10.20.43.213
005024-01_P,"Купол 005024-01_P пр. Назарбаева, 17а (Театр им. Станиславского)",60,10.20.20.114
005026-03_P,"Купол 005026-03_P мкр. 14, 47",60,10.20.43.52
005033-03_P,"Купол 005033-03_P кв. 2, 18",60,10.20.44.84
005035-05_P,Купол 005035-05_P пр. Нуркена Абдирова - ул. Ерубаева перекресток,60,10.20.14.70
005045-05_P,Купол 005045-05_P пр. Назарбаева - пр. Нуркена Абдирова перекресток,60,10.20.13.230
005046-07_P,Купол 005046-07_P Спасское шоссе (Арка въезд в Караганду/выезд в Алмату),60,10.20.29.168
005046-08_P,Купол 005046-08_P Спасское шоссе (Арка въезд в Караганду/выезд в Алмату),60,10.20.29.169
005048-10_P,Купол 005048-10_P 15 магистраль - ул. Попова перекресток,60,10.20.69.57
005086-04_P,"Купол 005086-04_P ул. Костенко, 7 (Концертный зал ""Шалкыма"")",60,10.20.15.213
005092-05_P,Купол 005092-05_P ул. Ерубаева - ул. Комиссарова перекресток,60,10.20.20.150
005094-06_P,"Купол 005094-06_P ул. Металлистов, ст. 24/2 (КГКП ""Дом культуры ""Молодежный"")",60,10.20.62.71
005096-09_P,"Купол 005096-09_P ул. Архитектурная, 7 (Прокуратура Октябрьского района города Караганды)",60,10.20.42.10
005096-10_P,"Купол 005096-10_P ул. Архитектурная, 5",60,10.20.42.11
005102-05_P,Купол 005102-05_P ЦПКиО (Центральный вход Арка),60,10.20.64.23
005102-06_P,Купол 005102-06_P ЦПКиО (Центральный вход Арка),60,10.20.64.24
005108-04_P,Купол 005108-04_P ЦПКиО (Сцена),60,10.20.64.117
005123-02_P,Купол 005123-02_P ЦПКиО (Путепровод ул. Газалиева),60,10.20.69.18
005138-08_P,Купол 005138-08_P ЦПКиО (Набережная),60,10.20.66.90
005141-04_P,Купол 005141-04_P ул. Воинов Интернационалистов (Каскадная лестница напротив ЦПКиО),60,10.20.66.133
005141-05_P,"Купол 005141-05_P ул. Воинов Интернационалистов, 29 (Мир Фантазий)",60,10.20.66.134
005143-03_P,Купол 005143-03_P ЦПКиО (Набережная возле пляжа),60,10.20.66.164
005144-04_P,Купол 005144-04_P ЦПКиО (Детская площадка возле пляжа),60,10.20.66.181
005145-07_P,Купол 005145-07_P ул. Воинов Интернационалистов - ул. Чкалова перекресток,60,10.20.66.200
005201-05_P,Купол 005201-05_P ул. Казахстанская - ул. Московская перекресток,60,10.20.57.198
005202-07_P,"Купол 005202-07_P ул. Толепова - ул. Московская перекресток (Памятник Цою, Сквер)",60,10.20.57.216
005210-01_P,"Купол 005210-01_P ул. Абая, 74",60,10.20.20.50
005216-01_P,Купол 005216-01_P пр. Бухар Жырау - ул. Лободы перекресток,60,10.20.20.194
005218-08_P,"Купол 005218-08_P пр. Шахтеров, 1",60,10.20.28.105
005218-13_P,"Купол 005218-13_P пр. Шахтеров, 1",60,10.20.28.110
005219-02_P,Купол 005219-02_P пр. Бухар Жырау - пр. Назарбаева перекресток,60,10.20.11.147
005221-03_P,Купол 005221-03_P пр. Бухар Жырау - ул. Алиханова перекресток,60,10.20.14.180
005224-04_P,"Купол 005224-04_P ул. Зелинского, 24/1",60,10.20.62.5
005227-01_P,"Купол 005227-01_P мкр. 14, 8",60,10.20.41.146
005232-01_P,"Купол 005232-01_P ул. Сталелитейная, 1а",60,10.20.40.18
005242-04_P,Купол 005242-04_P ул. Аманжолова - пр. Сейфуллина перекресток,60,10.20.56.197
005242-11_P,Купол 005242-11_P ул. Аманжолова - пр. Сейфуллина перекресток,60,10.20.56.204
005243-01_P,"Купол 005243-01_P пр. Бухар Жырау, 60",60,10.20.15.50
005244-03_P,"Купол 005244-03_P пр. Бухар Жырау, 54 (ТД ""Абзал"")",60,10.20.14.245
005250-01_P,"Купол 005250-01_P пр. Республики, 18",60,10.20.24.66
005250-06_P,"Купол 005250-06_P пр. Республики, 18",60,10.20.24.71
005256-01_P,Купол 005256-01_P пр. Бухар Жырау - ул. Абая перекресток,60,10.20.15.194
005258-01_P,"Купол 005258-01_P мкр. Степной 3, 8",60,10.20.26.103
005258-04_P,"Купол 005258-04_P мкр. Степной 3, 8",60,10.20.26.106
005261-03_P,Купол 005261-03_P ул. Аманжолова - ул. Газалиева перекресток,60,10.20.56.100
005261-08_P,Купол 005261-08_P ул. Аманжолова - ул. Газалиева перекресток,60,10.20.56.105
005265-03_P,"Купол 005265-03_P ул. Муканова, 5/3 Обл. центр им. Макажанова",60,10.20.24.132
005266-05_P,"Купол 005266-05_P ул. Абая, 63",60,10.20.12.151
005268-09_P,Купол 005268-09_P ул. Абая - ул. Поспелова перекресток,60,10.20.16.44
005269-04_P,"Купол 005269-04_P ул. Абая (памятник ""Кинолента"")",60,10.20.68.5
005272-05_P,Купол 005272-05_P ул. Абая - ул. Аханова перекресток,60,10.20.11.86
005276-05_P,Купол 005276-05_P ул. Ермекова - ул. Ерубаева перекресток,60,10.20.14.230
005278-04_P,"Купол 005278-04_P ул. Карла Маркса, 5",60,10.20.40.69
005279-03_P,Купол 005279-03_P ул. Гоголя - ул. Абая перекресток,60,10.20.13.164
005282-03_P,"Купол 005282-03_P пр. Назарбаева, 11 (ул. Ерубаева, 28)",60,10.20.9.180
005283-08_P,Купол 005283-08_P ул. Мустафина - ул. Терешковой перекресток,60,10.20.10.153
005283-09_P,Купол 005283-09_P ул. Мустафина - ул. Терешковой перекресток,60,10.20.10.154
005287-02_P,"Купол 005287-02_P ул. Абая, 7 - ул. Костенко перекресток",60,10.20.17.19
005287-03_P,"Купол 005287-03_P ул. Абая, 7 - ул. Костенко перекресток",60,10.20.17.20
005288-03_P,Купол 005288-03_P пр. Назарбаева - ул. Алиханова перекресток,60,10.20.13.116
005289-03_P,"Купол 005289-03_P ул. Воинов Интернационалистов, 18",60,10.20.13.196
005290-04_P,Купол 005290-04_P пр. Назарбаева - ул. Ерубаева перекресток,60,10.20.12.134
005292-06_P,"Купол 005292-06_P ул. Мустафина, 2",60,10.20.9.151
005305-04_P,Купол 005305-04_P ул. Университетская - ул. Муканова перекресток,60,10.20.26.181
005306-07_P,"Купол 005306-07_P ул. Осевая, 6",60,10.20.25.88
005307-06_P,"Купол 005307-06_P ул. Гапеева, 7 (Юго-Восточный отдел полиции УП г. Караганды)",60,10.20.28.183
005307-07_P,"Купол 005307-07_P ул. Гапеева, 7 (Юго-Восточный отдел полиции УП г. Караганды)",60,10.20.28.184
005308-07_P,Купол 005308-07_P ул. Ерубаева - ул. Лободы перекресток,60,10.20.11.249
005309-02_P,"Купол 005309-02_P ул. Ерубаева, 46",60,10.20.12.67
005310-04_P,Купол 005310-04_P ул. Ерубаева - ул. Алиханова перекресток,60,10.20.11.133
005312-04_P,"Купол 005312-04_P ул. Алиханова, 10 (Акимат Карагандинской области)",60,10.20.14.213
005314-03_P,"Купол 005314-03_P ул. Карла Маркса, 7",60,10.20.42.116
005315-03_P,Купол 005315-03_P ул. Абая - ул. Шакирова перекресток,60,10.20.14.4
005316-04_P,Купол 005316-04_P пр. Бухар Жырау - ул. Толепова перекресток,60,10.20.18.197
005317-02_P,"Купол 005317-02_P ул. Ерубаева, 18 (Медицинский Университет Караганды)",60,10.20.15.243
005322-04_P,"Купол 005322-04_P ул. Степная - ул. Охотская перекресток (КГУ ""Областная инфекционная больница"")",60,10.20.18.245
005323-04_P,"Купол 005323-04_P ул. Жекибаева, 145",60,10.20.60.149
005330-05_P,Купол 005330-05_P пр. Бухар Жырау - ул. Университетская - ул. Сарыарка перекресток,60,10.20.28.70
005332-07_P,Купол 005332-07_P ул. Муканова - ул. Букетова перекресток,60,10.20.27.24
005333-07_P,Купол 005333-07_P пр. Строителей - ул. Язева перекресток,60,10.20.25.136
005335-05_P,"Купол 005335-05_P ул. Дружбы, 126",60,10.20.60.118
005338-05_P,Купол 005338-05_P ул. Таттимбета - пр. Шахтеров перекресток,60,10.20.25.6
005338-06_P,Купол 005338-06_P ул. Таттимбета - пр. Шахтеров перекресток,60,10.20.25.7
005339-10_P,Купол 005339-10_P ул. Сарыарка - пр. Шахтеров перекресток,60,10.20.28.155
005340-07_P,Купол 005340-07_P пр. Строителей - ул. Муканова перекресток,60,10.20.26.40
