type,name,edge
pp_Camera,"Купол 005003-04_P мкр. 12, 10 (Стадион Литейщик)",Karaganda
pp_Camera,"Купол 005005-04_P ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",Karaganda
pp_Camera,Купол 005006-05_P пр. Бухар Жырау - ул. Лободы перекресток,Karaganda
pp_Camera,"Купол 005007-04_P мкр. 19, 49",Karaganda
pp_Camera,"Купол 005010-03_P ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",Karaganda
pp_Camera,"Купол 005012-05_P ул. Ержанова, 6",Karaganda
pp_Camera,"Купол 005014-07_P ул. Карла Маркса, 33/1 (Мечеть Бала Кажы)",Karaganda
pp_Camera,Купол 005016-05_P пр. Бухар Жырау - ул. Затаевича перекресток,Karaganda
pp_Camera,Купол 005017-05_P ул. Штурманская - ул. Гудермесская перекресток,Karaganda
pp_Camera,"Купол 005018-01_P ул. Гапеева, 1",Karaganda
pp_Camera,"Купол 005018-02_P ул. Гапеева, 3 (ТБЦ Аян)",Karaganda
pp_Camera,"Купол 005019-01_P ул. Муканова, 3",Karaganda
pp_Camera,"Купол 005020-01_P пр. Назарбаева, 39 (Акимат города Караганды)",Karaganda
pp_Camera,"Купол 005021-01_P ул. Асфальтная - ул. Молокова перекресток (ул. Орлова, 113)",Karaganda
pp_Camera,Купол 005022-05_P ул. Таттимбета - мкр. Кунгей - п. Уштобе перекресток,Karaganda
pp_Camera,"Купол 005023-04_P ул. Винницкая, 47/1 (АЗС Омега)",Karaganda
pp_Camera,"Купол 005024-01_P пр. Назарбаева, 17а (Театр им. Станиславского)",Karaganda
pp_Camera,"Купол 005026-03_P мкр. 14, 47",Karaganda
pp_Camera,"Купол 005033-03_P кв. 2, 18",Karaganda
pp_Camera,Купол 005035-05_P пр. Нуркена Абдирова - ул. Ерубаева перекресток,Karaganda
pp_Camera,Купол 005045-05_P пр. Назарбаева - пр. Нуркена Абдирова перекресток,Karaganda
pp_Camera,Купол 005046-07_P Спасское шоссе (Арка въезд в Караганду/выезд в Алмату),Karaganda
pp_Camera,Купол 005046-08_P Спасское шоссе (Арка въезд в Караганду/выезд в Алмату),Karaganda
pp_Camera,Купол 005048-10_P 15 магистраль - ул. Попова перекресток,Karaganda
pp_Camera,"Купол 005086-04_P ул. Костенко, 7 (Концертный зал ""Шалкыма"")",Karaganda
pp_Camera,Купол 005092-05_P ул. Ерубаева - ул. Комиссарова перекресток,Karaganda
pp_Camera,"Купол 005094-06_P ул. Металлистов, ст. 24/2 (КГКП ""Дом культуры ""Молодежный"")",Karaganda
pp_Camera,"Купол 005096-09_P ул. Архитектурная, 7 (Прокуратура Октябрьского района города Караганды)",Karaganda
pp_Camera,"Купол 005096-10_P ул. Архитектурная, 5",Karaganda
pp_Camera,Купол 005102-05_P ЦПКиО (Центральный вход Арка),Karaganda
pp_Camera,Купол 005102-06_P ЦПКиО (Центральный вход Арка),Karaganda
pp_Camera,Купол 005108-04_P ЦПКиО (Сцена),Karaganda
pp_Camera,Купол 005123-02_P ЦПКиО (Путепровод ул. Газалиева),Karaganda
pp_Camera,Купол 005138-08_P ЦПКиО (Набережная),Karaganda
pp_Camera,Купол 005141-04_P ул. Воинов Интернационалистов (Каскадная лестница напротив ЦПКиО),Karaganda
pp_Camera,"Купол 005141-05_P ул. Воинов Интернационалистов, 29 (Мир Фантазий)",Karaganda
pp_Camera,Купол 005143-03_P ЦПКиО (Набережная возле пляжа),Karaganda
pp_Camera,Купол 005144-04_P ЦПКиО (Детская площадка возле пляжа),Karaganda
pp_Camera,Купол 005145-07_P ул. Воинов Интернационалистов - ул. Чкалова перекресток,Karaganda
pp_Camera,Купол 005201-05_P ул. Казахстанская - ул. Московская перекресток,Karaganda
pp_Camera,"Купол 005202-07_P ул. Толепова - ул. Московская перекресток (Памятник Цою, Сквер)",Karaganda
pp_Camera,"Купол 005210-01_P ул. Абая, 74",Karaganda
pp_Camera,Купол 005216-01_P пр. Бухар Жырау - ул. Лободы перекресток,Karaganda
pp_Camera,"Купол 005218-08_P пр. Шахтеров, 1",Karaganda
pp_Camera,"Купол 005218-13_P пр. Шахтеров, 1",Karaganda
pp_Camera,Купол 005219-02_P пр. Бухар Жырау - пр. Назарбаева перекресток,Karaganda
pp_Camera,Купол 005221-03_P пр. Бухар Жырау - ул. Алиханова перекресток,Karaganda
pp_Camera,"Купол 005224-04_P ул. Зелинского, 24/1",Karaganda
pp_Camera,"Купол 005227-01_P мкр. 14, 8",Karaganda
pp_Camera,"Купол 005232-01_P ул. Сталелитейная, 1а",Karaganda
pp_Camera,Купол 005242-04_P ул. Аманжолова - пр. Сейфуллина перекресток,Karaganda
pp_Camera,Купол 005242-11_P ул. Аманжолова - пр. Сейфуллина перекресток,Karaganda
pp_Camera,"Купол 005243-01_P пр. Бухар Жырау, 60",Karaganda
pp_Camera,"Купол 005244-03_P пр. Бухар Жырау, 54 (ТД ""Абзал"")",Karaganda
pp_Camera,"Купол 005250-01_P пр. Республики, 18",Karaganda
pp_Camera,"Купол 005250-06_P пр. Республики, 18",Karaganda
pp_Camera,Купол 005256-01_P пр. Бухар Жырау - ул. Абая перекресток,Karaganda
pp_Camera,"Купол 005258-01_P мкр. Степной 3, 8",Karaganda
pp_Camera,"Купол 005258-04_P мкр. Степной 3, 8",Karaganda
pp_Camera,Купол 005261-03_P ул. Аманжолова - ул. Газалиева перекресток,Karaganda
pp_Camera,Купол 005261-08_P ул. Аманжолова - ул. Газалиева перекресток,Karaganda
pp_Camera,"Купол 005265-03_P ул. Муканова, 5/3 Обл. центр им. Макажанова",Karaganda
pp_Camera,"Купол 005266-05_P ул. Абая, 63",Karaganda
pp_Camera,Купол 005268-09_P ул. Абая - ул. Поспелова перекресток,Karaganda
pp_Camera,"Купол 005269-04_P ул. Абая (памятник ""Кинолента"")",Karaganda
pp_Camera,Купол 005272-05_P ул. Абая - ул. Аханова перекресток,Karaganda
pp_Camera,Купол 005276-05_P ул. Ермекова - ул. Ерубаева перекресток,Karaganda
pp_Camera,"Купол 005278-04_P ул. Карла Маркса, 5",Karaganda
pp_Camera,Купол 005279-03_P ул. Гоголя - ул. Абая перекресток,Karaganda
pp_Camera,"Купол 005282-03_P пр. Назарбаева, 11 (ул. Ерубаева, 28)",Karaganda
pp_Camera,Купол 005283-08_P ул. Мустафина - ул. Терешковой перекресток,Karaganda
pp_Camera,Купол 005283-09_P ул. Мустафина - ул. Терешковой перекресток,Karaganda
pp_Camera,"Купол 005287-02_P ул. Абая, 7 - ул. Костенко перекресток",Karaganda
pp_Camera,"Купол 005287-03_P ул. Абая, 7 - ул. Костенко перекресток",Karaganda
pp_Camera,Купол 005288-03_P пр. Назарбаева - ул. Алиханова перекресток,Karaganda
pp_Camera,"Купол 005289-03_P ул. Воинов Интернационалистов, 18",Karaganda
pp_Camera,Купол 005290-04_P пр. Назарбаева - ул. Ерубаева перекресток,Karaganda
pp_Camera,"Купол 005292-06_P ул. Мустафина, 2",Karaganda
pp_Camera,Купол 005305-04_P ул. Университетская - ул. Муканова перекресток,Karaganda
pp_Camera,"Купол 005306-07_P ул. Осевая, 6",Karaganda
pp_Camera,"Купол 005307-06_P ул. Гапеева, 7 (Юго-Восточный отдел полиции УП г. Караганды)",Karaganda
pp_Camera,"Купол 005307-07_P ул. Гапеева, 7 (Юго-Восточный отдел полиции УП г. Караганды)",Karaganda
pp_Camera,Купол 005308-07_P ул. Ерубаева - ул. Лободы перекресток,Karaganda
pp_Camera,"Купол 005309-02_P ул. Ерубаева, 46",Karaganda
pp_Camera,Купол 005310-04_P ул. Ерубаева - ул. Алиханова перекресток,Karaganda
pp_Camera,"Купол 005312-04_P ул. Алиханова, 10 (Акимат Карагандинской области)",Karaganda
pp_Camera,"Купол 005314-03_P ул. Карла Маркса, 7",Karaganda
pp_Camera,Купол 005315-03_P ул. Абая - ул. Шакирова перекресток,Karaganda
pp_Camera,Купол 005316-04_P пр. Бухар Жырау - ул. Толепова перекресток,Karaganda
pp_Camera,"Купол 005317-02_P ул. Ерубаева, 18 (Медицинский Университет Караганды)",Karaganda
pp_Camera,"Купол 005322-04_P ул. Степная - ул. Охотская перекресток (КГУ ""Областная инфекционная больница"")",Karaganda
pp_Camera,"Купол 005323-04_P ул. Жекибаева, 145",Karaganda
pp_Camera,Купол 005330-05_P пр. Бухар Жырау - ул. Университетская - ул. Сарыарка перекресток,Karaganda
pp_Camera,Купол 005332-07_P ул. Муканова - ул. Букетова перекресток,Karaganda
pp_Camera,Купол 005333-07_P пр. Строителей - ул. Язева перекресток,Karaganda
pp_Camera,"Купол 005335-05_P ул. Дружбы, 126",Karaganda
pp_Camera,Купол 005338-05_P ул. Таттимбета - пр. Шахтеров перекресток,Karaganda
pp_Camera,Купол 005338-06_P ул. Таттимбета - пр. Шахтеров перекресток,Karaganda
pp_Camera,Купол 005339-10_P ул. Сарыарка - пр. Шахтеров перекресток,Karaganda
pp_Camera,Купол 005340-07_P пр. Строителей - ул. Муканова перекресток,Karaganda
pp_Camera,Купол 005341-04_P ул. Гоголя - ул. Лободы перекресток,Karaganda
pp_Camera,Купол 005345-05_P ул. Ермекова (Привокзальная площадь),Karaganda
pp_Camera,"Купол 005348-06_P ул. Сатыбалдина, 27",Karaganda
pp_Camera,Купол 005349-03_P пр. Шахтеров - ул. Дюсембекова - ул. Рахимова перекресток,Karaganda
pp_Camera,Купол 005353-05_P пр. Сейфуллина - ул. Жанибекова перекресток,Karaganda
pp_Camera,"Купол 005354-05_P пр. Шахтеров, 5/1 (Прокуратура Карагандинской области, ЦОН)",Karaganda
pp_Camera,Купол 005357-03_P пр. Назарбаева - ул. Гоголя перекресток,Karaganda
pp_Camera,"Купол 005358-03_P пр. Нуркена Абдирова, 19",Karaganda
pp_Camera,"Купол 005360-03_P ул. Воинов Интернационалистов, 24 (Районный суд №2 Казыбекбийского района г. Караганды)",Karaganda
pp_Camera,Купол 005361-02_P пр. Назарбаева - ул. Гоголя перекресток,Karaganda
pp_Camera,"Купол 005362-02_P пр. Шахтеров, 31а",Karaganda
pp_Camera,Купол 005364-04_P ул. Алиханова - ул. Гоголя перекресток,Karaganda
pp_Camera,"Купол 005365-04_P пр. Шахтеров Т-образный перекресток (Строительный магазин ""12 Месяцев"")",Karaganda
pp_Camera,Купол 005366-04_P ул. Гоголя - пр. Нуркена Абдирова перекресток,Karaganda
pp_Camera,Купол 005371-06_P пр. Республики - пр. Шахтеров перекресток,Karaganda
pp_Camera,Купол 005376-07_P ул. Терешковой - ул. Сатпаева - ул. Пригородная перекресток,Karaganda
pp_Camera,Купол 005379-04_P пр. Бухар Жырау - ул. Гончарная перекресток,Karaganda
pp_Camera,Купол 005381-05_P ул. Ермекова - ул. Газалиева перекресток,Karaganda
pp_Camera,Купол 005387-03_P ул. Алиханова (Сквер возле Бегопарка),Karaganda
pp_Camera,"Купол 005390-04_P ул. Ермекова, 118 (Управление полиции г. Караганды Департамента полиции Карагандинской области МВД РК)",Karaganda
pp_Camera,Купол 005393-04_P пр. Шахтеров - ул. Букетова перекресток,Karaganda
pp_Camera,"Купол 005394-03_P ул. Молокова, 127 (ТД ""Подсолнух"")",Karaganda
pp_Camera,Купол 005394-04_P ул. Молокова - ул. Затаевича (между рынками),Karaganda
pp_Camera,"Купол 005395-04_P ул. Ерубаева, 44/2",Karaganda
pp_Camera,"Купол 005402-02_P ул. Прогресса, 1а (МПС ДП Карагандинской области)",Karaganda
pp_Camera,Купол 005405-06_P ул. Гоголя - ул. Сатпаева - ул. Волгодонская перекресток,Karaganda
pp_Camera,"Купол 005408-03_P ул. Нуржанова, 1а (Карагандинская городская мечеть №1 им. Аль-Машани)",Karaganda
pp_Camera,Купол 005409-06_P ул. Ермекова - ул. Асфальтная перекресток,Karaganda
pp_Camera,Купол 005409-07_P ул. Ермекова - ул. Асфальтная - ул. Липецкая перекресток (Березка),Karaganda
pp_Camera,Купол 005416-07_P Ж/Д вокзал №2 (п. Сортировка),Karaganda
pp_Camera,Купол 005417-04_P ул. Баженова - ул. Новонижняя перекресток,Karaganda
pp_Camera,"Купол 005421-04_P ул. Дружбы, 112Б (Стадион ""Локомотив"", сквер)",Karaganda
pp_Camera,"Купол 005421-05_P ул. Дружбы, 112Б (Стадион ""Локомотив"", сквер)",Karaganda
pp_Camera,Купол 005422-05_P ул. Дубовская - ул. Бадина перекресток,Karaganda
pp_Camera,"Купол 005423-05_P ул. Архитектурная, 15/1 (Карагандинская транспортная прокуратура Октябрьского района)",Karaganda
pp_Camera,Купол 005425-04_P пр. Сейфуллина (Путепровод ДСК),Karaganda
pp_Camera,Купол 005426-05_P ул. Магнитогорская - мкр. 12 перекресток,Karaganda
pp_Camera,Купол 005429-07_P пр. Сейфуллина - ул. Крылова перекресток,Karaganda
pp_Camera,Купол 005432-07_P Ж/Д вокзал №1 (п. Сортировка),Karaganda
pp_Camera,Купол 005438-04_P ул. Баженова - ул. Прогресса перекресток,Karaganda
pp_Camera,"Купол 005443-03_P пр. Бухар Жырау, 56",Karaganda
pp_Camera,Купол 005446-03_P 15 магистраль - ул. Методическая перекресток,Karaganda
pp_Camera,"Купол 005448-04_P ул. Дружбы, 117",Karaganda
pp_Camera,"Купол 005451-04_P пр. Нуркена Абдирова, 15 (Магазин ""1000 мелочей"")",Karaganda
pp_Camera,Купол 005453-04_P 7 Магистраль - ул. Пригородная перекресток,Karaganda
pp_Camera,"Купол 005455-03_P пр. Назарбаева, 45",Karaganda
pp_Camera,"Купол 005457-04_P пр. Назарбаева (Остановка ""Политех"")",Karaganda
pp_Camera,"Купол 005460-03_P пр. Бухар Жырау, 46/1 (возле кафе ""Оскар"")",Karaganda
pp_Camera,"Купол 005461-01_P ул. Ермекова, 58",Karaganda
pp_Camera,Купол 005462-01_P пр. Бухар Жырау - ул. Сатпаева перекресток,Karaganda
pp_Camera,"Купол 005463-05_P ул. Карла Маркса, 3",Karaganda
pp_Camera,"Купол 005466-07_P Мемориал ""Вечный огонь""",Karaganda
pp_Camera,"Купол 005469-02_P ул. Ермекова, 106/1",Karaganda
pp_Camera,"Купол 005470-04_P ул. Казахстанская (Остановка ""Михайловский рынок"")",Karaganda
pp_Camera,"Купол 005471-01_P ул. Алиханова, 8",Karaganda
pp_Camera,Купол 005472-03_P пр. Бухар Жырау - пр. Назарбаева перекресток,Karaganda
pp_Camera,Купол 005478-03_P ул. Алиханова (Фонтан перед ДДЮ),Karaganda
pp_Camera,"Купол 005480-04_P ул. Казахстанская, 1 (Стадион ""Шахтер"")",Karaganda
pp_Camera,"Купол 005481-01_P пр. Бухар Жырау, 77",Karaganda
pp_Camera,Купол 005482-06_P Этнопарк им. 10-летия Независимости Казахстана (2),Karaganda
pp_Camera,Купол 005482-07_P Этнопарк им. 10-летия Независимости Казахстана (2),Karaganda
pp_Camera,"Купол 005483-08_P ул. Магнитогорская, 19 (КГКП ""Дом культуры ""Нового Майкудука"")",Karaganda
pp_Camera,"Купол 005483-09_P ул. Магнитогорская, 19 (КГКП ""Дом культуры ""Нового Майкудука"")",Karaganda
pp_Camera,"Купол 005484-01_P мкр. Голубые пруды, 6",Karaganda
pp_Camera,"Купол 005486-02_P пр. Назарбаева, 20",Karaganda
pp_Camera,"Купол 005488-05_P пр. Бухар Жырау, 15 - ул. Абая перекресток",Karaganda
pp_Camera,Купол 005490-05_P пр. Бухар Жырау (Путепровод со стороны Юго-Востока),Karaganda
pp_Camera,"Купол 005491-03_P ул. Алалыкина, 9 (Специализированный межрайонный суд по делам несовершеннолетних Карагандинской области)",Karaganda
pp_Camera,"Купол 005493-01_P мкр. Степной 4, 7",Karaganda
pp_Camera,"Купол 005496-01_P ул. Таттимбета, 4",Karaganda
pp_Camera,"Купол 005499-01_P ул. Карбышева, 22",Karaganda
pp_Camera,"Купол 005499-02_P ул. Карбышева, 22",Karaganda
pp_Camera,"Купол 005499-03_P ул. Карбышева, 22",Karaganda
pp_Camera,Купол 005503-08_P ул. Гоголя - ул. Складская перекресток,Karaganda
pp_Camera,Купол 005506-06_P ул. Гоголя - пр. Республики - ул. Гудермесская перекресток,Karaganda
pp_Camera,Купол 005507-05_P ул. Гоголя (Путепровод),Karaganda
pp_Camera,Купол 005507-06_P ул. Гоголя (Путепровод),Karaganda
pp_Camera,Купол 005510-10_P Парк победы,Karaganda
pp_Camera,"Купол 005511-01_P мкр. Орбита 1, 16/2",Karaganda
pp_Camera,"Купол 005513-04_P мкр. Степной 1, 45",Karaganda
pp_Camera,Купол 005517-01_P Площадь у Стелы Победы,Karaganda
pp_Camera,Купол 005521-05_P ул. Таттимбета - ул. Момышулы перекресток,Karaganda
pp_Camera,Купол 005523-05_P ул. Ержанова - ул. Газалиева перекресток,Karaganda
pp_Camera,"Купол 005524-04_P ул. Прогресса, 27",Karaganda
pp_Camera,"Купол 005525-01_P мкр. Орбита 1, 39",Karaganda
pp_Camera,Купол 005534-04_P пр. Бухар Жырау - ул. Дюсембекова перекресток,Karaganda
pp_Camera,Купол 005535-05_P пр. Бухар Жырау - ул. Космонавтов перекресток,Karaganda
pp_Camera,Купол 005535-06_P пр. Бухар Жырау - ул. Молокова перекресток (Гипермаркет),Karaganda
pp_Camera,Купол 005542-09_P ул. Муканова - пр. Республики перекресток,Karaganda
pp_Camera,"Купол 005547-03_P ул. Таттимбета, 19",Karaganda
pp_Camera,"Купол 005550-05_P пр. Бухар Жырау, 76 (ТЦ ""Мечта"")",Karaganda
pp_Camera,"Купол 005551-09_P пр. Назарбаева, 62",Karaganda
pp_Camera,"Купол 005551-10_P пр. Назарбаева, 62",Karaganda
pp_Camera,"Купол 005556-03_P ул. Лободы, 10 (Карагандинский академический театр музыкальной комедии)",Karaganda
pp_Camera,"Купол 005558-03_P мкр. 12, 3",Karaganda
pp_Camera,"Купол 005572-01_P ул. Затаевича, 77а",Karaganda
pp_Camera,"Купол 005572-02_P ул. Затаевича, 77а",Karaganda
pp_Camera,"Купол 005572-03_P ул. Затаевича, 77а",Karaganda
pp_Camera,"Купол 005574-07_P ул. Космонавтов, 1в (ТД ""Таир"")",Karaganda
pp_Camera,"Купол 005574-08_P ул. Космонавтов, 1в (ТД ""Таир"")",Karaganda
pp_Camera,"Купол 005575-04_P ул. Космонавтов, 1в (ТД ""Таир"")",Karaganda
pp_Camera,"Купол 005576-05_P ул. Сарыарка, 19",Karaganda
pp_Camera,"Купол 005585-01_P ул. Абая, 61/1 (Кинотеатр им. Ленина)",Karaganda
pp_Camera,"Купол 005586-03_P ул. Гоголя, 50/1",Karaganda
pp_Camera,"Купол 005589-05_P ул. Гоголя, 64",Karaganda
pp_Camera,"Купол 005590-03_P ул. Ермекова, 52",Karaganda
pp_Camera,"Купол 005590-04_P ул. Ермекова, 52",Karaganda
pp_Camera,"Купол 005591-03_P ул. Ерубаева, 41/43 (Областная клиническая больница)",Karaganda
pp_Camera,"Купол 005594-01_P ул. Абая, 18",Karaganda
pp_Camera,"Купол 005595-03_P ул. Абая, 36",Karaganda
pp_Camera,"Купол 005597-03_P ул. Лободы, 7",Karaganda
pp_Camera,"Купол 005598-01_P ул. Мустафина, 12",Karaganda
pp_Camera,"Купол 005599-03_P мкр. Восток 1, 10",Karaganda
pp_Camera,"Купол 005600-05_P мкр. Восток 1, 12",Karaganda
pp_Camera,"Купол 005601-03_P мкр. Восток 1, 5",Karaganda
pp_Camera,"Купол 005602-03_P мкр. Восток 2, 11",Karaganda
pp_Camera,"Купол 005603-05_P мкр. Восток 2, 12",Karaganda
pp_Camera,"Купол 005603-06_P мкр. Восток 2, 12",Karaganda
pp_Camera,"Купол 005604-03_P мкр. Восток 2, 7",Karaganda
pp_Camera,"Купол 005605-03_P мкр. Восток 3, 18",Karaganda
pp_Camera,"Купол 005606-03_P мкр. Восток 3, 21",Karaganda
pp_Camera,"Купол 005607-03_P мкр. Восток 3, 9",Karaganda
pp_Camera,"Купол 005608-03_P мкр. Восток 5, 3",Karaganda
pp_Camera,"Купол 005609-03_P кв. 1, 14",Karaganda
pp_Camera,"Купол 005611-03_P мкр. 12, 5",Karaganda
pp_Camera,"Купол 005612-03_P мкр. 13, 1а",Karaganda
pp_Camera,"Купол 005613-03_P мкр. 13, 19",Karaganda
pp_Camera,"Купол 005618-03_P мкр. 15, 6",Karaganda
pp_Camera,"Купол 005620-03_P мкр. 16, 47",Karaganda
pp_Camera,"Купол 005621-03_P мкр. 16, 5",Karaganda
pp_Camera,"Купол 005623-04_P мкр. 17, 55",Karaganda
pp_Camera,"Купол 005625-03_P мкр. 19, 75",Karaganda
pp_Camera,"Купол 005627-03_P мкр. Голубые пруды, 5/2",Karaganda
pp_Camera,"Купол 005628-03_P ул. Карла Либкнехта, 106в (Детская больница г. Караганда)",Karaganda
pp_Camera,"Купол 005632-03_P ул. Магнитогорская, 46",Karaganda
pp_Camera,"Купол 005634-03_P мкр. Мамраева, 29",Karaganda
pp_Camera,"Купол 005635-03_P мкр. Мамраева, 37",Karaganda
pp_Camera,"Купол 005636-01_P ул. Сталелитейная, 3/3а",Karaganda
pp_Camera,Купол 005638-05_P ул. Вагонная (ОСШ №64),Karaganda
pp_Camera,Купол 005640-05_P ул. Вагонная - ул. Учебная перекресток (ОШ №44),Karaganda
pp_Camera,Купол 005641-04_P ул. Асфальтная - ул. Бытовая перекресток,Karaganda
pp_Camera,"Купол 005643-03_P ул. Академическая, 9/1",Karaganda
pp_Camera,"Купол 005644-03_P ул. Анжерская, 33",Karaganda
pp_Camera,"Купол 005644-04_P ул. Анжерская, 39 (Остановка КЭУ)",Karaganda
pp_Camera,"Купол 005645-03_P ул. Ержанова, 39а",Karaganda
pp_Camera,"Купол 005647-01_P ул. Ермекова, 124 (Карагандинская академия МВД РК им. Б.С. Бейсенова)",Karaganda
