type,name,edge
pp_Camera,Купол 009001-03_P Автостанция п. Осакаровка,Osakarovka
pp_Camera,Купол 009002-04_P Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,"Купол 009003-03_P Ж/Д вокзал АО ""КТЖ""",Osakarovka
pp_Camera,Купол 009006-04_P ул. Сельхозснабская - ул. Октябрьская перекресток,Osakarovka
pp_Camera,"Купол 009009-07_P Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Купол 009012-04_P Т-образная развилка в районе бывшего поста ""Рубеж""",Osakarovka
pp_Camera,Купол 009013-04_P ул. Бокейханова (здание ОП),Osakarovka
pp_Camera,Купол 009015-05_P ул. Бокейханова (СШ №1),Osakarovka
pp_Camera,Купол 009016-04_P ул. Бокейханова (Центральный парк),Osakarovka
pp_Camera,"Купол 009017-06_P ул. Достык (""НБ"", районный Акимат, СПК ""Ишим"", АО ""Казпочта"")",Osakarovka
pp_Camera,Купол 009018-04_P ул. Достык (ГУ «Гимназия №9»),Osakarovka
pp_Camera,"Купол 009022-03_P ул. Сельхозснабская (здание ЦОНа, мечеть)",Osakarovka
pp_Camera,"Купол 009024-02_P ул. Сельхозснабская (кафе ""Олимп"")",Osakarovka
pp_Camera,"Купол 009025-03_P ул. Сельхозснабская (кафе ""Таверна"")",Osakarovka
pp_Camera,"Купол 009030-03_P ул. Шахматная (военкомат, ТЦ ""Тумар"")",Osakarovka
pp_Camera,Купол 009031-03_P ул. Школьная (здание ЦРБ),Osakarovka
pp_Camera,"Купол 009034-02_P ул. Гагарина, 30",Osakarovka
pp_Camera,Купол 009036-01_P ул. Литвиновская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Купол 009040-01_P ул. Мостовая (район ФОК),Osakarovka
pp_Camera,"Купол 009041-01_P ул. Победы (СТО ""БОШ"")",Osakarovka
pp_Camera,Рубеж 009002-05_R0 Обработчик Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,Рубеж 009002-06_R0 Обработчик Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,"Рубеж 009011-02_R0 Обработчик ул. Спортивная - ул. Мостовая перекресток (супермаркет ""Дива"")",Osakarovka
pp_Camera,Рубеж 009028-01_R0 Обработчик Въезд в поселок Осакаровка с автобана со стороны с. Есиль,Osakarovka
pp_Camera,"Рубеж 009032-01_R0 Обработчик Въезд в п. Осакаровка с автобана АЗС ""КазМунайГаз""",Osakarovka
pp_Camera,"Рубеж 009032-02_R0 Обработчик Въезд в п. Осакаровка с автобана АЗС ""КазМунайГаз""",Osakarovka
pp_Camera,"Рубеж 009033-01_R0 Обработчик Въезд в п. Осакаровка со стороны Нуринского района ""Элеватор""",Osakarovka
pp_Camera,"Рубеж 009033-02_R0 Обработчик Въезд в п. Осакаровка со стороны Нуринского района ""Элеватор""",Osakarovka
pp_Camera,Статика 009001-01 Автостанция п. Осакаровка,Osakarovka
pp_Camera,Статика 009001-02 Автостанция п. Осакаровка,Osakarovka
pp_Camera,Статика 009002-01 Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,Статика 009002-02 Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,Статика 009002-03 Въезд в поселок Осакаровка с автобана со стороны с. Озерное,Osakarovka
pp_Camera,"Статика 009003-01 Ж/Д вокзал АО ""КТЖ""",Osakarovka
pp_Camera,"Статика 009003-02 Ж/Д вокзал АО ""КТЖ""",Osakarovka
pp_Camera,Статика 009004-01 ул. Бокейханова - ул. Сельхозснабская перекресток,Osakarovka
pp_Camera,Статика 009004-02 ул. Бокейханова - ул. Сельхозснабская перекресток,Osakarovka
pp_Camera,Статика 009004-03 ул. Бокейханова - ул. Сельхозснабская перекресток,Osakarovka
pp_Camera,Статика 009005-01 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009005-02 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009005-03 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009005-04 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009005-05 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009005-06 ул. Октябрьская - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009006-01 ул. Сельхозснабская - ул. Октябрьская перекресток,Osakarovka
pp_Camera,Статика 009006-02 ул. Сельхозснабская - ул. Октябрьская перекресток,Osakarovka
pp_Camera,Статика 009006-03 ул. Сельхозснабская - ул. Октябрьская перекресток,Osakarovka
pp_Camera,Статика 009006-05 ул. Сельхозснабская - ул. Октябрьская перекресток,Osakarovka
pp_Camera,Статика 009007-01 ул. Целинная - ул. Пацаева перекресток,Osakarovka
pp_Camera,Статика 009007-02 ул. Целинная - ул. Пацаева перекресток,Osakarovka
pp_Camera,Статика 009007-03 ул. Целинная - ул. Пацаева перекресток,Osakarovka
pp_Camera,Статика 009008-01 ул. Школьная - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009008-02 ул. Школьная - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009008-03 ул. Школьная - ул. Мостовая перекресток,Osakarovka
pp_Camera,Статика 009008-04 ул. Школьная - ул. Мостовая перекресток,Osakarovka
pp_Camera,"Статика 009009-01 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009009-02 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009009-03 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009009-04 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009009-05 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009009-06 Площадь перед ДК, детская площадка",Osakarovka
pp_Camera,"Статика 009011-01 ул. Спортивная - ул. Мостовая перекресток (супермаркет ""Дива"")",Osakarovka
