type,name,edge
pp_Camera,"Купол 008001-03_P пр. Республики, 67а (Школа-лицей №14)",Temirtau
pp_Camera,"Купол 008002-03_P ул. Колхозная, 10а (ОШ №3)",Temirtau
pp_Camera,"Купол 008004-03_P мкр. 2, 5/2 (Женская гимназия)",Temirtau
pp_Camera,"Купол 008005-03_P мкр. 3а, 7/1 (Гимназия №1)",Temirtau
pp_Camera,"Купол 008006-03_P мкр. 4, 17/1 (ОШ №19)",Temirtau
pp_Camera,"Купол 008007-03_P мкр. 6, 49а (ОШ №10)",Temirtau
pp_Camera,"Купол 008008-03_P пр. Мира, 75 (ОШ №8)",Temirtau
pp_Camera,"Купол 008009-03_P мкр. 8, 98а (ОШ №17)",Temirtau
pp_Camera,"Купол 008010-03_P пр. Момышулы, 91 (Гимназия им. Алихана Бокейханова)",Temirtau
pp_Camera,"Купол 008011-03_P пр. Металлургов, 24/5 (ОШ №24)",Temirtau
pp_Camera,"Купол 008013-03_P пр. Мира, 62 (ОШ №23)",Temirtau
pp_Camera,"Купол 008014-03_P мкр. 7, 22/1 (ОШ №27)",Temirtau
pp_Camera,"Купол 008016-03_P пр. Республики, 21/1 (ОШ №11)",Temirtau
pp_Camera,"Купол 008017-03_P пр. Республики, 73 (Лицей №9)",Temirtau
pp_Camera,"Купол 008018-03_P пр. Строителей, 27/1 (ОШ им. Габидена Мустафина)",Temirtau
pp_Camera,"Купол 008019-03_P ул. Амангельды, 7б (ОШ №6)",Temirtau
pp_Camera,"Купол 008020-03_P ул. Блюхера, 3 (ОШ №31)",Temirtau
pp_Camera,"Купол 008021-03_P ул. Абая, 34/1 (ОШ №21)",Temirtau
pp_Camera,"Купол 008022-03_P ул. Абая, 58/2 (Школа-лицей №20)",Temirtau
pp_Camera,"Купол 008024-03_P ул. Карьерная, 1 (ОШ №1)",Temirtau
pp_Camera,"Купол 008026-03_P ул. Победы, 17 (Первый Темиртауский классический лицей)",Temirtau
pp_Camera,"Купол 008027-03_P ул. Северная, 36 (ОШ №7)",Temirtau
pp_Camera,"Купол 008028-03_P ул. Чернышевского, 106/1 (ОШ №4)",Temirtau
pp_Camera,"Купол 008029-03_P ул. Химиков, 63 (ОШ №22)",Temirtau
pp_Camera,"Купол 008031-03_P ул. Темиртауская, 1 (ОШ №16)",Temirtau
pp_Camera,"Купол 008032-03_P ул. Абая, 39/2 (ОШ №2)",Temirtau
pp_Camera,"Купол 008050-03_P ул. Сейфуллина, 50 (ТЦ ""Восток"")",Temirtau
pp_Camera,"Купол 008053-03_P мкр. 8, 131/1 (Магазин ""Караван"")",Temirtau
pp_Camera,"Купол 008064-05_P пр. Республики, 128/1 (Автовокзал)",Temirtau
pp_Camera,"Купол 008066-03_P бул. Независимости, 25 (ТЦ ""Аян Пассаж"")",Temirtau
pp_Camera,Купол 008067-04_P пр. Республики (Возле городского парк культуры и отдыха г. Темиртау),Temirtau
pp_Camera,"Купол 008070-01_P пр. Республики, 20 (Деловой центр ""Экспресс"")",Temirtau
pp_Camera,Купол 008071-03_P ул. Абая - ул. Чернышевского перекресток,Temirtau
pp_Camera,"Купол 008072-03_P ул. Абая, 70а (ТЦ ""ЕсДаулет"")",Temirtau
pp_Camera,Купол 008080-09_P пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,"Купол 008088-04_P пр. Республики, 34а (Стадион ""Металлург"")",Temirtau
pp_Camera,"Купол 008089-04_P пр. Республики, 34а (Стадион ""Металлург"")",Temirtau
pp_Camera,"Купол 008090-01_P бул. Независимости, 12 (Площадь перед акиматом города Темиртау)",Temirtau
pp_Camera,Купол 008091-03_P пр. Республики - пр. Металлургов перекресток,Temirtau
pp_Camera,"Купол 008093-01_P мкр. 3А, 17 (городской пляж)",Temirtau
pp_Camera,Купол 008094-01_P пр. Момышулы - пр. Мира перекресток,Temirtau
pp_Camera,Купол 008095-01_P пр. Момышулы - ул. Амангельды перекресток,Temirtau
pp_Camera,Купол 008096-01_P пр. Момышулы - ул. Абая перекресток,Temirtau
pp_Camera,Купол 008099-01_P пр. Мира - пр. Металлургов перекресток,Temirtau
pp_Camera,Купол 008100-01_P пр.Мира - ул. Караганда перекресток,Temirtau
pp_Camera,"Купол 008101-01_P пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,"Купол 008101-04_P пр. Республики, 1/3 (Площадь перед ""АрселорМиттал Темиртау"")",Temirtau
pp_Camera,Купол 008102-01_P пр. Республики - пр. Металлургов перекресток,Temirtau
pp_Camera,Купол 008104-01_P пр. Республики - ул. С.Сейфуллина перекресток,Temirtau
pp_Camera,Купол 008105-01_P пр. Республики - ул. Караганда перекресток,Temirtau
pp_Camera,Купол 008106-01_P пр. Республики - ул. Панфилова перекресток,Temirtau
pp_Camera,"Купол 008106-02_P пр. Республики, 136 (Площадь перед ТЮЗ)",Temirtau
pp_Camera,Купол 008107-01_P пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Купол 008109-01_P ул. Абая - ул. Менделеева перекресток,Temirtau
pp_Camera,Купол 008116-02_P пр. Республики - пр. Строителей перекресток,Temirtau
pp_Camera,Купол 008117-07_P пр. Республики (Площадь Гагарина),Temirtau
pp_Camera,"Купол 008118-01_P пр. Металлургов, 21 (ТЦ ""ЦУМ"")",Temirtau
pp_Camera,"Купол 008118-02_P пр. Металлургов, 21 (ТЦ ""ЦУМ"")",Temirtau
pp_Camera,"Купол 008119-01_P пр. Мира, 71/2 (ТЦ ""City-centre"")",Temirtau
pp_Camera,Купол 008126-01_P ул. Амангельды - ул. Темиртауская перекресток,Temirtau
pp_Camera,Перекресток 008003-01_X0 Обработчик пр. Республики - ул. С.Сейфуллина перекресток,Temirtau
pp_Camera,Перекресток 008080-04_X0 Обработчик пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,Перекресток 008080-05_X0 Обработчик пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,Перекресток 008104-02_X0 Обработчик пр. Республики - ул. С.Сейфуллина перекресток,Temirtau
pp_Camera,Перекресток 008199-01_X0 Обработчик пр. Металлургов - ул. Абая перекресток,Temirtau
pp_Camera,Перекресток 008199-02_X0 Обработчик пр. Металлургов - ул. Абая перекресток,Temirtau
pp_Camera,Перекресток 008222-01_X0 Обработчик пр. Момышулы - пр. Мира перекресток,Temirtau
pp_Camera,Перекресток 008222-02_X0 Обработчик пр. Момышулы - пр. Мира перекресток,Temirtau
pp_Camera,Перекресток 008223-01_X0 Обработчик пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Перекресток 008223-02_X0 Обработчик пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Перекресток 008224-01_X0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,Перекресток 008224-02_X0 Обработчик пр. Мира - ул. Чернышевского перекресток,Temirtau
pp_Camera,"Пешеходный переход 008035-03_W0 Обработчик пр. Металлургов, 28А",Temirtau
pp_Camera,"Пешеходный переход 008038-03_W0 Обработчик пр. Металлургов, 8А",Temirtau
pp_Camera,"Пешеходный переход 008191-03_W0 Обработчик пр. Металлургов, 13А",Temirtau
pp_Camera,"Пешеходный переход 008207-01_W0 Обработчик пр. Момышулы, 19А",Temirtau
pp_Camera,"Пешеходный переход 008207-02_W0 Обработчик пр. Момышулы, 19А",Temirtau
pp_Camera,"Пешеходный переход 008208-01_W0 Обработчик пр. Момышулы, 25",Temirtau
pp_Camera,"Пешеходный переход 008219-01_W0 Обработчик ул. Чернышевского, 102 (возле СОШ №4)",Temirtau
pp_Camera,"Пешеходный переход 008219-02_W0 Обработчик ул. Чернышевского, 102 (возле СОШ №4)",Temirtau
pp_Camera,"Пешеходный переход 008220-01_W0 Обработчик ул. Чернышевского, 112",Temirtau
pp_Camera,"Пешеходный переход 008220-02_W0 Обработчик ул. Чернышевского, 112",Temirtau
pp_Camera,Рубеж 008023-01_R0 Обработчик пр. Металлургов (Возле центральной мечети г. Темиртау им. Алихана Бокейханова),Temirtau
pp_Camera,Рубеж 008071-04_R0 Обработчик ул. Абая - ул. Чернышевского перекресток,Temirtau
pp_Camera,Рубеж 008072-04_R0 Обработчик пр. Металлургов (Аллея возле пр. Металлургов - ул. Абая перекресток),Temirtau
