uuid,name,edge
005002-01,"Статика 005002-01 ул. Алиханова, 20 (Сквер)",krg
005002-02,"Статика 005002-02 ул. Алиханова, 20 (Сквер)",krg
005003-01,"Статика 005003-01 мкр. 12, 10 (Стадион Литейщик)",krg
005003-02,"Статика 005003-02 мкр. 12, 10 (Стадион Литейщик)",krg
005003-03,"Статика 005003-03 мкр. 12, 10 (Стадион Литейщик)",krg
005003-04_P,"Купол 005003-04_P мкр. 12, 10 (Стадион Литейщик)",krg
005004-01,"Статика 005004-01 ул. Лободы, 9 (Карагандинский академический театр музыкальной комедии)",krg
005005-01,"Статика 005005-01 ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",krg
005005-02,"Статика 005005-02 ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",krg
005005-03,"Статика 005005-03 ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",krg
005005-04_P,"Купол 005005-04_P ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",krg
005006-01,Статика 005006-01 пр. Бухар Жырау - ул. Лободы перекресток,krg
005006-02,Статика 005006-02 пр. Бухар Жырау - ул. Лободы перекресток,krg
005006-03,Статика 005006-03 пр. Бухар Жырау - ул. Лободы перекресток,krg
005006-04,Статика 005006-04 пр. Бухар Жырау - ул. Лободы перекресток,krg
005006-05_P,Купол 005006-05_P пр. Бухар Жырау - ул. Лободы перекресток,krg
005007-01,"Статика 005007-01 мкр. 19, 49",krg
005007-02,"Статика 005007-02 мкр. 19, 49",krg
005007-03,"Статика 005007-03 мкр. 19, 49",krg
005007-04_P,"Купол 005007-04_P мкр. 19, 49",krg
005010-01,"Статика 005010-01 ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",krg
005010-02,"Статика 005010-02 ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",krg
005010-03_P,"Купол 005010-03_P ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",krg
005012-01,"Статика 005012-01 ул. Ержанова, 6",krg
005012-02,"Статика 005012-02 ул. Ержанова, 6",krg
005012-03,"Статика 005012-03 ул. Ержанова, 6",krg
005012-04,"Статика 005012-04 ул. Ержанова, 6",krg
005012-05_P,"Купол 005012-05_P ул. Ержанова, 6",krg
005014-01,Статика 005014-01 ул. Карла Маркса - ул. Лиговская перекресток,krg
005014-02,Статика 005014-02 ул. Карла Маркса - ул. Лиговская перекресток,krg
005014-03,Статика 005014-03 ул. Карла Маркса - ул. Лиговская перекресток,krg
005014-04,Статика 005014-04 ул. Карла Маркса - ул. Лиговская перекресток,krg
005014-07_P,"Купол 005014-07_P ул. Карла Маркса, 33/1 (Мечеть Бала Кажы)",krg
005016-01,Статика 005016-01 пр. Бухар Жырау - ул. Затаевича перекресток,krg
005016-02,Статика 005016-02 пр. Бухар Жырау - ул. Затаевича перекресток,krg
005016-03,Статика 005016-03 пр. Бухар Жырау - ул. Затаевича перекресток,krg
