deviceName,type,UUID,region,groupName,IP,latitude,longitude,inactivityTimeout,online,
"Купол 005003-04_P мкр. 12, 10 (Стадион Литейщик)",pp_Camera,005003-04_P,Караганда,- Караганда 1 этап Купола (300),10.20.44.5,49.89955084,73.20100959,31622400000,0,
"Купол 005005-04_P ул. Воинов Интернационалистов, 32 (Супермаркет ""Аян"")",pp_Camera,005005-04_P,Караганда,- Караганда 1 этап Купола (300),10.20.20.5,49.802457666667,73.084836055556,31622400000,0,
Купол 005006-05_P пр. Бухар Жырау - ул. Лободы перекресток,pp_Camera,005006-05_P,Караганда,- Караганда 1 этап Купола (300),10.20.20.38,49.80958718,73.08279743,31622400000,0,
"Купол 005007-04_P мкр. 19, 49",pp_Camera,005007-04_P,Караганда,- Караганда 1 этап Купола (300),10.20.43.197,49.86826314,73.19468995,31622400000,0,
"Купол 005010-03_P ул. Муканова, 5/3 (Многопрофильная больница им. профессора Х.Ж.Макажанова)",pp_Camera,005010-03_P,Караганда,- Караганда 1 этап Купола (300),10.20.28.244,49.77298677,73.14805729,31622400000,0,
"Купол 005012-05_P ул. Ержанова, 6",pp_Camera,005012-05_P,Караганда,- Караганда 1 этап Купола (300),10.20.16.102,49.79751322,73.08832834,31622400000,0,
"Купол 005014-07_P ул. Карла Маркса, 33/1 (Мечеть Бала Кажы)",pp_Camera,005014-07_P,Караганда,- Караганда 1 этап Купола (300),10.20.42.92,49.86117313,73.19240915,31622400000,0,
Купол 005016-05_P пр. Бухар Жырау - ул. Затаевича перекресток,pp_Camera,005016-05_P,Караганда,- Караганда 1 этап Купола (300),10.20.24.198,49.78672,73.106903,31622400000,0,
Купол 005017-05_P ул. Штурманская - ул. Гудермесская перекресток,pp_Camera,005017-05_P,Караганда,- Караганда 1 этап Купола (300),10.20.29.6,49.80690103,73.13546529,31622400000,0,
"Купол 005018-01_P ул. Гапеева, 1",pp_Camera,005018-01_P,Караганда,- Караганда 1 этап Купола (300),10.20.29.34,49.771598968155,73.15625846386,31622400000,0,
"Купол 005019-01_P ул. Муканова, 3",pp_Camera,005019-01_P,Караганда,- Караганда 1 этап Купола (300),10.20.29.50,49.770601171678,73.144665956497,31622400000,0,
"Купол 005020-01_P пр. Назарбаева, 39 (Акимат города Караганды)",pp_Camera,005020-01_P,Караганда,- Караганда 1 этап Купола (300),10.20.20.98,49.81645715,73.10281463,31622400000,0,
"Купол 005021-01_P ул. Асфальтная - ул. Молокова перекресток (ул. Орлова, 113)",pp_Camera,005021-01_P,Караганда,- Караганда 1 этап Купола (300),10.20.29.66,49.777136,73.091792,31622400000,0,
Купол 005022-05_P ул. Таттимбета - мкр. Кунгей - п. Уштобе перекресток,pp_Camera,005022-05_P,Караганда,- Караганда 1 этап Купола (300),10.20.29.86,49.782025527778,73.178063444444,31622400000,0,
